expiry_days,expiry_years,strike,moneyness,option_type,market_price,use_for_iv,iv,pct_error_flat_vol,pct_error_svi_vol
1,0.0027397260273972603,750.0,1.001107915571603,call,3.4,True,0.2408634550944828,32.87813765328551,1.2321986278680792
1,0.0027397260273972603,751.0,1.0024427261256985,call,2.9,True,0.23724262394968945,40.07575571482558,0.949931098884052
1,0.0027397260273972603,752.0,1.003777536679794,call,2.45,True,0.23401325738811665,48.51520926879633,0.6066483186900005
1,0.0027397260273972603,753.0,1.0051123472338894,call,1.97,True,0.22560159807325297,64.80169714852107,3.8602256620046806
1,0.0027397260273972603,754.0,1.006447157787985,call,1.68,True,0.22731824223009153,71.74849771044654,1.4376036995335306
1,0.0027397260273972603,755.0,1.0077819683420803,call,1.35,True,0.22308498504474264,89.18908621203542,4.261921239396065
1,0.0027397260273972603,756.0,1.009116778896176,call,1.08,True,0.22018054180396895,108.47700469032671,6.803997924574086
1,0.0027397260273972603,757.0,1.0104515894502712,call,0.85,True,0.21729214187894894,132.54764126213826,10.426557314530571
1,0.0027397260273972603,758.0,1.0117864000043668,call,0.64,True,0.21252968296103886,170.00415372050665,18.614314478349133
1,0.0027397260273972603,759.0,1.0131212105584624,call,0.5,True,0.2117228449443531,200.84691776253294,22.18225317940039
1,0.0027397260273972603,760.0,1.0144560211125577,call,0.37,True,0.20860987491524013,252.37155524649134,32.38395581358366
1,0.0027397260273972603,761.0,1.0157908316666533,call,0.26,True,0.20414765072860439,332.7285468410808,50.70784807536396
1,0.0027397260273972603,762.0,1.0171256422207486,call,0.19,True,0.20275637229495216,408.74440803202435,64.85129408201932
1,0.0027397260273972603,763.0,1.0184604527748442,call,0.15,True,0.20510818749794904,451.16833420155825,67.04127607154837
1,0.0027397260273972603,764.0,1.0197952633289395,call,0.1,True,0.20140381539251714,603.941775348568,100.90008530057443
1,0.0027397260273972603,765.0,1.0211300738830351,call,0.07,True,0.20032588448042893,752.3560354028751,130.9844848530876
1,0.0027397260273972603,766.0,1.0224648844371307,call,0.05,True,0.20037368713555226,906.7828206731804,161.60446206529284
1,0.0027397260273972603,767.0,1.023799694991226,call,0.05,True,0.2104088868825008,745.4953255283328,112.98752743074087
1,0.0027397260273972603,768.0,1.0251345055453216,call,0.04,True,0.2136045159154755,783.4270065906047,118.38404985712323
1,0.0027397260273972603,769.0,1.026469316099417,call,0.03,True,0.2149618049204861,879.9845173149416,140.8581636694862
1,0.0027397260273972603,770.0,1.0278041266535125,call,0.03,True,0.22427458069450099,711.47782138243,101.06012849436658
1,0.0027397260273972603,771.0,1.0291389372076079,call,0.02,True,0.2223153179429923,903.13914457546,154.20433883265758
1,0.0027397260273972603,772.0,1.0304737477617034,call,0.03,True,0.2427301206290289,448.51445279626415,44.28465210241252
1,0.0027397260273972603,773.0,1.0318085583157988,call,0.02,True,0.23996561439722197,571.6024847450974,86.16262717172205
1,0.0027397260273972603,774.0,1.0331433688698943,call,0.02,True,0.24872032134078317,445.57037078703627,61.78996927249667
1,0.0027397260273972603,775.0,1.03447817942399,call,0.01,True,0.23895739349449654,782.0968442658561,184.11052157120585
1,0.0027397260273972603,776.0,1.0358129899780852,call,0.03,True,0.2790290080304115,136.54825911850236,16.0078173689925
1,0.0027397260273972603,777.0,1.0371478005321808,call,0.02,True,0.27472458151561396,184.06514109080126,12.836792430575091
1,0.0027397260273972603,780.0,1.041152232194467,call,0.02,True,0.30036956872150855,41.537384623142685,14.35977312661754
1,0.0027397260273972603,785.0,1.0478262849649445,call,0.02,True,0.34239971235982064,59.840000745563415,36.798367430474954
1,0.0027397260273972603,786.0,1.04916109551904,call,0.02,True,0.35070760970999,69.2443983301593,39.37889326693913
1,0.0027397260273972603,788.0,1.051830716627231,call,0.02,True,0.36723160609053007,82.22883094676827,43.35939861554996
1,0.0027397260273972603,789.0,1.0531655271813265,call,0.02,True,0.37544909155506484,86.59165089434309,44.87099750272052
1,0.0027397260273972603,790.0,1.0545003377354218,call,0.01,True,0.3579768895558094,79.86710410919298,7.756016143729647
1,0.0027397260273972603,795.0,1.0611743905058992,call,0.02,True,0.42417017768216636,97.77148561348432,49.50591805406348
1,0.0027397260273972603,800.0,1.0678484432763766,call,0.02,True,0.46406261200711796,99.56416697174933,49.81045680203735
1,0.0027397260273972603,805.0,1.074522496046854,call,0.01,True,0.47121024850829824,99.84930716580138,3.288008497703918
1,0.0027397260273972603,810.0,1.0811965488173312,call,0.01,True,0.5079185918553699,99.97695003220937,8.310658573484982
1,0.0027397260273972603,815.0,1.0878706015878086,call,0.01,True,0.5441655916518782,99.9968769686912,14.597049946116854
1,0.0027397260273972603,820.0,1.094544654358286,call,0.01,True,0.5799781627425635,99.99962470204304,21.575040403119058
1,0.0027397260273972603,675.0,0.9009971240144428,put,0.03,True,0.7405371229306911,99.99999948438538,36.571342163669215
1,0.0027397260273972603,680.0,0.90767117678492,put,0.02,True,0.6655244653947733,99.99998569713271,14.727312865077199
1,0.0027397260273972603,685.0,0.9143452295553974,put,0.02,True,0.6197526597093231,99.99978634933802,39.30130900792203
1,0.0027397260273972603,690.0,0.9210192823258748,put,0.03,True,0.5984238074060703,99.99827155549812,13.772757300568317
1,0.0027397260273972603,695.0,0.9276933350963521,put,0.04,True,0.5688512435223876,99.98714605104317,5.752882676539704
1,0.0027397260273972603,700.0,0.9343673878668295,put,0.06,True,0.5459326361987202,99.9301592875844,11.313011631254588
1,0.0027397260273972603,701.0,0.935702198420925,put,0.06,True,0.5358202216876118,99.89616270972724,6.948724936629107
1,0.0027397260273972603,704.0,0.9397066300832114,put,0.06,True,0.5054497769320777,99.67378908614094,8.01161086156993
1,0.0027397260273972603,705.0,0.9410414406373069,put,0.07,True,0.5051285525928992,99.59653088766623,2.5259296314275193
1,0.0027397260273972603,706.0,0.9423762511914023,put,0.05,True,0.47432737517511586,99.19089327351388,43.81608601407691
1,0.0027397260273972603,707.0,0.9437110617454978,put,0.11,True,0.515243935868594,99.47702357867081,31.03614531979353
1,0.0027397260273972603,708.0,0.9450458722995932,put,0.07,True,0.47418956182702166,98.83980743034826,14.45159929814556
1,0.0027397260273972603,710.0,0.9477154934077843,put,0.06,True,0.4445041731871391,97.35978502198725,49.44525887424713
1,0.0027397260273972603,713.0,0.9517199250700706,put,0.1,True,0.4438581211910598,95.90712120071167,7.18738984876452
1,0.0027397260273972603,714.0,0.9530547356241661,put,0.09,True,0.4265717394760364,93.8459452347349,26.75118541509218
1,0.0027397260273972603,715.0,0.9543895461782615,put,0.1,True,0.42223006142958347,92.55608611544966,21.590974936522038
1,0.0027397260273972603,716.0,0.955724356732357,put,0.12,True,0.4227283671610702,91.7193304647615,8.171715599042118
1,0.0027397260273972603,717.0,0.9570591672864525,put,0.1,True,0.40052610278128253,86.82454160274702,38.805670154169995
1,0.0027397260273972603,718.0,0.958393977840548,put,0.14,True,0.4103051645419392,87.60471208831379,6.204444253150031
1,0.0027397260273972603,719.0,0.9597287883946435,put,0.17,True,0.4118442827761406,86.64385306171788,6.142279043582238
1,0.0027397260273972603,720.0,0.9610635989487389,put,0.14,True,0.3875909659020154,78.91851627166902,22.53433185287931
1,0.0027397260273972603,721.0,0.9623984095028344,put,0.17,True,0.38852491941502426,77.57870858346642,8.706859827230435
1,0.0027397260273972603,722.0,0.9637332200569299,put,0.19,True,0.3841508434407033,74.2578028911993,4.9929527364368855
1,0.0027397260273972603,723.0,0.9650680306110253,put,0.21,True,0.3789715361435835,70.30334454988422,2.760165801694964
1,0.0027397260273972603,724.0,0.9664028411651208,put,0.25,True,0.37900085425126395,68.3931237169503,6.418252519601708
